<repo>/distgpt/.venv/lib/python3.14/site-packages/torch/distributed/checkpoint/utils.py:483: UserWarning: torch.distributed is disabled, unavailable or uninitialized, assuming the intent is to save in a single process.
  return func(*args, **kwargs)
<repo>/distgpt/.venv/lib/python3.14/site-packages/torch/distributed/checkpoint/utils.py:483: UserWarning: torch.distributed is disabled, unavailable or uninitialized, assuming the intent is to load in a single process.
  return func(*args, **kwargs)
<repo>/distgpt/.venv/lib/python3.14/site-packages/torch/distributed/checkpoint/utils.py:483: UserWarning: torch.distributed is disabled, unavailable or uninitialized, assuming the intent is to load in a single process.
  return func(*args, **kwargs)
<repo>/distgpt/.venv/lib/python3.14/site-packages/torch/distributed/checkpoint/utils.py:483: UserWarning: torch.distributed is disabled, unavailable or uninitialized, assuming the intent is to save in a single process.
  return func(*args, **kwargs)
[init] rank=0/1 device=cuda:0 dtype=torch.bfloat16
[mesh] dp=1 tp=1 pp=1
[model] 0.42B params
[resume] @ step 1501
step    1510 | loss 4.7846 | lr 1.75e-04 | 2866 ms | 0.01M tok/s
step    2090 | loss 4.4370 | lr 9.24e-05 | 2840 ms | 0.01M tok/s
step    2100 | loss 4.6254 | lr 9.12e-05 | 2841 ms | 0.01M tok/s
step    2110 | loss 4.4033 | lr 8.99e-05 | 2840 ms | 0.01M tok/s
step    2120 | loss 4.3196 | lr 8.87e-05 | 2840 ms | 0.01M tok/s
step    2130 | loss 4.5107 | lr 8.75e-05 | 2840 ms | 0.01M tok/s
step    2140 | loss 4.4835 | lr 8.63e-05 | 2840 ms | 0.01M tok/s
step    2150 | loss 4.6156 | lr 8.50e-05 | 2840 ms | 0.01M tok/s
step    2160 | loss 4.5135 | lr 8.39e-05 | 2839 ms | 0.01M tok/s
step    2170 | loss 4.5841 | lr 8.27e-05 | 2839 ms | 0.01M tok/s
step    2180 | loss 4.3838 | lr 8.15e-05 | 2840 ms | 0.01M tok/s
step    2190 | loss 4.4199 | lr 8.03e-05 | 2840 ms | 0.01M tok/s
step    2200 | loss 4.4023 | lr 7.92e-05 | 2839 ms | 0.01M tok/s
           eval | loss 4.3845
           best val 4.3845 → out/gpt_416m_fweb_5060ti/gpt_416m_fweb_5060ti/ckpts/step_000002200
step    2210 | loss 4.4703 | lr 7.80e-05 | 3979 ms | 0.01M tok/s
step    2220 | loss 4.3772 | lr 7.69e-05 | 2840 ms | 0.01M tok/s
step    2230 | loss 4.4258 | lr 7.58e-05 | 2841 ms | 0.01M tok/s
step    2240 | loss 4.5137 | lr 7.47e-05 | 2841 ms | 0.01M tok/s
step    2250 | loss 4.6670 | lr 7.36e-05 | 2841 ms | 0.01M tok/s
step    2260 | loss 4.7699 | lr 7.25e-05 | 2840 ms | 0.01M tok/s
step    2270 | loss 4.5761 | lr 7.14e-05 | 2839 ms | 0.01M tok/s
step    2280 | loss 4.7054 | lr 7.03e-05 | 2839 ms | 0.01M tok/s
step    2290 | loss 4.5721 | lr 6.93e-05 | 2840 ms | 0.01M tok/s
step    2300 | loss 4.5582 | lr 6.82e-05 | 2839 ms | 0.01M tok/s
step    2310 | loss 4.5273 | lr 6.72e-05 | 2839 ms | 0.01M tok/s
step    2320 | loss 4.8106 | lr 6.62e-05 | 2839 ms | 0.01M tok/s
step    2330 | loss 4.5661 | lr 6.52e-05 | 2840 ms | 0.01M tok/s
step    2340 | loss 4.6488 | lr 6.42e-05 | 2839 ms | 0.01M tok/s
step    2350 | loss 4.5113 | lr 6.32e-05 | 2839 ms | 0.01M tok/s
step    2360 | loss 5.2364 | lr 6.22e-05 | 2839 ms | 0.01M tok/s
step    2370 | loss 4.6845 | lr 6.13e-05 | 2839 ms | 0.01M tok/s
step    2380 | loss 4.5148 | lr 6.03e-05 | 2839 ms | 0.01M tok/s
step    2390 | loss 4.5380 | lr 5.94e-05 | 2839 ms | 0.01M tok/s
step    2400 | loss 4.6917 | lr 5.85e-05 | 2839 ms | 0.01M tok/s
           eval | loss 4.6379
step    2410 | loss 4.5239 | lr 5.76e-05 | 2851 ms | 0.01M tok/s
step    2420 | loss 4.5211 | lr 5.67e-05 | 2839 ms | 0.01M tok/s
step    2430 | loss 4.6435 | lr 5.58e-05 | 2838 ms | 0.01M tok/s
step    2440 | loss 4.5574 | lr 5.49e-05 | 2839 ms | 0.01M tok/s
step    2450 | loss 4.4207 | lr 5.41e-05 | 2839 ms | 0.01M tok/s
step    2460 | loss 4.5530 | lr 5.32e-05 | 2839 ms | 0.01M tok/s
step    2470 | loss 4.6333 | lr 5.24e-05 | 2839 ms | 0.01M tok/s
step    2480 | loss 4.5842 | lr 5.16e-05 | 2839 ms | 0.01M tok/s
step    2490 | loss 4.5115 | lr 5.08e-05 | 2839 ms | 0.01M tok/s
step    2500 | loss 4.5502 | lr 5.00e-05 | 2839 ms | 0.01M tok/s
[ckpt] saved → out/gpt_416m_fweb_5060ti/gpt_416m_fweb_5060ti/ckpts/step_000002500
step    2510 | loss 4.3413 | lr 4.92e-05 | 3676 ms | 0.01M tok/s
step    2520 | loss 4.7128 | lr 4.85e-05 | 2841 ms | 0.01M tok/s
step    2530 | loss 4.4361 | lr 4.77e-05 | 2842 ms | 0.01M tok/s
step    2540 | loss 4.4624 | lr 4.70e-05 | 2841 ms | 0.01M tok/s
step    2550 | loss 4.6991 | lr 4.63e-05 | 2841 ms | 0.01M tok/s
step    2560 | loss 4.4685 | lr 4.56e-05 | 2841 ms | 0.01M tok/s
step    2570 | loss 4.3858 | lr 4.49e-05 | 2840 ms | 0.01M tok/s
step    2580 | loss 4.4519 | lr 4.42e-05 | 2839 ms | 0.01M tok/s
step    2590 | loss 4.6276 | lr 4.36e-05 | 2840 ms | 0.01M tok/s
step    2600 | loss 4.5252 | lr 4.29e-05 | 2839 ms | 0.01M tok/s
           eval | loss 4.9271
step    2610 | loss 4.5325 | lr 4.23e-05 | 2851 ms | 0.01M tok/s
step    2620 | loss 4.4331 | lr 4.17e-05 | 2839 ms | 0.01M tok/s
step    2630 | loss 4.4660 | lr 4.11e-05 | 2840 ms | 0.01M tok/s
step    2640 | loss 4.4493 | lr 4.05e-05 | 2839 ms | 0.01M tok/s
step    2650 | loss 4.4750 | lr 3.99e-05 | 2840 ms | 0.01M tok/s
step    2660 | loss 4.5951 | lr 3.94e-05 | 2839 ms | 0.01M tok/s
step    2670 | loss 4.6458 | lr 3.88e-05 | 2840 ms | 0.01M tok/s
step    2680 | loss 4.6854 | lr 3.83e-05 | 2839 ms | 0.01M tok/s
step    2690 | loss 4.4302 | lr 3.78e-05 | 2840 ms | 0.01M tok/s
step    2700 | loss 4.4350 | lr 3.73e-05 | 2839 ms | 0.01M tok/s
step    2710 | loss 4.4463 | lr 3.68e-05 | 2840 ms | 0.01M tok/s
step    2720 | loss 4.3469 | lr 3.64e-05 | 2839 ms | 0.01M tok/s
step    2730 | loss 4.5106 | lr 3.59e-05 | 2840 ms | 0.01M tok/s
step    2740 | loss 4.5279 | lr 3.55e-05 | 2839 ms | 0.01M tok/s
step    2750 | loss 4.4345 | lr 3.51e-05 | 2840 ms | 0.01M tok/s
step    2760 | loss 4.5686 | lr 3.47e-05 | 2839 ms | 0.01M tok/s
step    2770 | loss 4.3366 | lr 3.43e-05 | 2840 ms | 0.01M tok/s
step    2780 | loss 4.2456 | lr 3.40e-05 | 2839 ms | 0.01M tok/s
step    2790 | loss 4.7483 | lr 3.36e-05 | 2840 ms | 0.01M tok/s
step    2800 | loss 4.4386 | lr 3.33e-05 | 2839 ms | 0.01M tok/s
           eval | loss 4.1053
           best val 4.1053 → out/gpt_416m_fweb_5060ti/gpt_416m_fweb_5060ti/ckpts/step_000002800
step    2810 | loss 4.4582 | lr 3.30e-05 | 3697 ms | 0.01M tok/s
step    2820 | loss 4.1638 | lr 3.26e-05 | 2840 ms | 0.01M tok/s
step    2830 | loss 4.4250 | lr 3.24e-05 | 2842 ms | 0.01M tok/s
step    2840 | loss 4.5637 | lr 3.21e-05 | 2841 ms | 0.01M tok/s
step    2850 | loss 4.2969 | lr 3.18e-05 | 2840 ms | 0.01M tok/s
step    2860 | loss 4.3800 | lr 3.16e-05 | 2839 ms | 0.01M tok/s
step    2870 | loss 4.4370 | lr 3.14e-05 | 2840 ms | 0.01M tok/s
step    2880 | loss 4.4605 | lr 3.12e-05 | 2839 ms | 0.01M tok/s
step    2890 | loss 4.3350 | lr 3.10e-05 | 2839 ms | 0.01M tok/s
step    2900 | loss 4.5032 | lr 3.08e-05 | 2839 ms | 0.01M tok/s
step    2910 | loss 4.4369 | lr 3.07e-05 | 2840 ms | 0.01M tok/s
step    2920 | loss 4.3794 | lr 3.05e-05 | 2839 ms | 0.01M tok/s
step    2930 | loss 4.5933 | lr 3.04e-05 | 2839 ms | 0.01M tok/s
step    2940 | loss 4.2609 | lr 3.03e-05 | 2839 ms | 0.01M tok/s
step    2950 | loss 4.2902 | lr 3.02e-05 | 2839 ms | 0.01M tok/s
step    2960 | loss 4.3701 | lr 3.01e-05 | 2839 ms | 0.01M tok/s
step    2970 | loss 4.5513 | lr 3.01e-05 | 2840 ms | 0.01M tok/s
step    2980 | loss 4.5585 | lr 3.00e-05 | 2839 ms | 0.01M tok/s
step    2990 | loss 4.5791 | lr 3.00e-05 | 2840 ms | 0.01M tok/s
[done]
[vram] peak_alloc=12335 MiB  peak_reserved=12388 MiB
